finding,axis,group,n,adj_pos,eps_plus_FN,eps_minus_FP,mcnemar_p,nlp_missed_pos,clean_tpr,noisy_tpr_obs,noisy_tpr_pred,lemma1_resid_tpr
Airspace opacity,sex,F,1765,829,0.6151990349819059,0.11965811965811966,0.0,510,0.7913148371531966,0.7633410672853829,0.3446404325985852,0.4187006346867977
Airspace opacity,sex,M,2610,1337,0.5759162303664922,0.12804399057344854,0.0,770,0.8010471204188482,0.7835616438356164,0.3789390136074856,0.40462263022813083
Airspace opacity,age_band,40-60,1917,970,0.6164948453608248,0.12671594508975711,0.0,598,0.8237113402061855,0.782520325203252,0.3567089105346242,0.42581141466862776
Airspace opacity,age_band,<40,1435,677,0.5480059084194978,0.1424802110817942,0.0,371,0.7961595273264401,0.7584541062801933,0.40703952497400286,0.3514145813061904
Airspace opacity,age_band,>60,1023,519,0.5992292870905588,0.09325396825396826,0.0,311,0.7495183044315993,0.792156862745098,0.32776908699459134,0.46438777575050666
Airspace opacity,view,AP,3244,1802,0.5577136514983352,0.1262135922330097,0.0,1005,0.8368479467258602,0.8130745658835546,0.4066250827757399,0.40644948310781476
Airspace opacity,view,PA,1131,364,0.7554945054945055,0.121251629726206,0.0,275,0.6016483516483516,0.5769230769230769,0.19247688540628077,0.3844461915167961
Airspace opacity,elderly_women,F>60,361,176,0.5909090909090909,0.07567567567567568,2.220446049250313e-16,104,0.7840909090909091,0.8255813953488372,0.3420354635403775,0.48354593180845973
Airspace opacity,elderly_women,other,4014,1990,0.5909547738693467,0.12895256916996048,0.0,1176,0.7984924623115578,0.772093023255814,0.3681595866768564,0.4039334365789576
Pneumothorax,sex,F,1765,110,0.5636363636363636,0.036858006042296075,1.0,62,0.8272727272727273,0.8348623853211009,0.37905327203284095,0.45580911328825996
Pneumothorax,sex,M,2610,128,0.5234375,0.0273972602739726,1.0,67,0.703125,0.7131782945736435,0.3461876185440135,0.36699067602963
Pneumothorax,age_band,40-60,1917,88,0.5795454545454546,0.02733734281027884,1.0,51,0.7954545454545454,0.8045977011494253,0.34675353627315647,0.45784416487626883
Pneumothorax,age_band,<40,1435,70,0.4714285714285714,0.026373626373626374,0.80973205979319,33,0.6714285714285714,0.7397260273972602,0.3657951938171718,0.37393083358008844
Pneumothorax,age_band,>60,1023,80,0.5625,0.04559915164369035,0.9151060344205056,45,0.8,0.7564102564102564,0.3707928263062427,0.38561743010401367
Pneumothorax,view,AP,3244,133,0.6390977443609023,0.020250723240115717,0.08431335039233445,85,0.6842105263157895,0.6666666666666666,0.25551901233200647,0.41114765433466016
Pneumothorax,view,PA,1131,105,0.41904761904761906,0.06432748538011696,0.04525554618596206,44,0.8571428571428571,0.8582677165354331,0.529182466050953,0.3290852504844801
Pneumothorax,elderly_women,F>60,361,36,0.5833333333333334,0.05846153846153846,0.8743670611628918,21,0.9166666666666666,0.8235294117647058,0.4103657462195923,0.4131636655451135
Pneumothorax,elderly_women,other,4014,202,0.5346534653465347,0.028856243441762856,0.9460017249403141,108,0.7326732673267327,0.7598039215686274,0.3535053363588279,0.4062985852097995
Nodule or mass,sex,F,1765,246,0.5813008130081301,0.05069124423963134,1.1743343442893739e-05,143,0.516260162601626,0.4666666666666667,0.22793783492414166,0.23872883174252502
Nodule or mass,sex,M,2610,359,0.5738161559888579,0.054198134162594405,4.58553093907188e-06,206,0.5348189415041783,0.5309090909090909,0.24196829239210557,0.2889407985169853
Nodule or mass,age_band,40-60,1917,276,0.5652173913043478,0.04753199268738574,4.812342985216489e-07,156,0.5652173913043478,0.5303030303030303,0.25820175394066697,0.2721012763623633
Nodule or mass,age_band,<40,1435,195,0.6102564102564103,0.055645161290322584,0.000351982539787854,119,0.4307692307692308,0.41379310344827586,0.17955708017002342,0.23423602327825244
Nodule or mass,age_band,>60,1023,134,0.5522388059701493,0.05849268841394826,0.06136882913940234,74,0.5895522388059702,0.5803571428571429,0.2801644426807568,0.3001927001763861
Nodule or mass,view,AP,3244,411,0.5985401459854015,0.050123543946346626,1.7039918087657924e-07,246,0.46472019464720193,0.4527687296416938,0.19806678514529213,0.25470194449640166
Nodule or mass,view,PA,1131,194,0.5309278350515464,0.060832443970117396,0.0003743122471085991,103,0.6597938144329897,0.6148648648648649,0.3280587667181712,0.2868060981466937
Nodule or mass,elderly_women,F>60,361,38,0.6052631578947368,0.05572755417956656,0.5321712241488487,23,0.3684210526315789,0.3939393939393939,0.1595769153351417,0.23436247860425222
Nodule or mass,elderly_women,other,4014,567,0.5749559082892416,0.05250942848854076,1.602696864111408e-10,326,0.5379188712522046,0.514218009478673,0.24164853654538668,0.27256947293328637
